Name,Duration,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD),Refs
Doris,"August 28 – September 4, 1975",110 mph (175 km/h),965 hPa (28.50 inHg),No land areas,0,None,[2][242]
Faye,"September 18 – 29, 1975",105 mph (165 km/h),977 hPa (28.85 inHg),Bermuda,0,Minimal,[2][242][243]
Emmy,"August 20 – September 4, 1976",105 mph (165 km/h),974 hPa (28.76 inHg),"Lesser Antilles, Azores",68,Minimal,[2][244]
Gloria,"September 26 – October 4, 1976",105 mph (165 km/h),970 hPa (28.64 inHg),No land areas,0,None,[2][245]
Flossie,"September 4 – 15, 1978",100 mph (155 km/h),976 hPa (28.82 inHg),No land areas,0,None,[2][246]
Gloria,"September 4 – 15, 1979",100 mph (155 km/h),975 hPa (28.79 inHg),No land areas,0,None,[2][247]
Bonnie,"August 14 – 19, 1980",100 mph (155 km/h),975 hPa (28.79 inHg),No land areas,0,None,[2][248][249]
Ivan,"October 4 – 11, 1980",105 mph (165 km/h),970 hPa (28.64 inHg),No land areas,0,None,[2][250][251]
Jeanne,"November 8 – 16, 1980",100 mph (155 km/h),986 hPa (29.12 inHg),"Florida, Gulf of Mexico, Gulf Coast of the United States",0,Minimal,[2][252]
Gert,"September 7 – 15, 1981",105 mph (165 km/h),988 hPa (29.18 inHg),Puerto Rico,0,None,[2][253][254]
Josephine,"October 7 – 18, 1984",105 mph (165 km/h),965 hPa (28.50 inHg),East Coast of the United States,1,Minor,[2][255][256]
Earl,"September 10 – 18, 1986",105 mph (165 km/h),979 hPa (28.91 inHg),No land areas,0,None,[2][257]
Dean,"July 31 – August 9, 1989",105 mph (165 km/h),968 hPa (28.59 inHg),"Leeward Islands, Bermuda, North Carolina, Newfoundland",0,$8.9 million,[2][258][259]
Erin,"August 18 – 27, 1989",105 mph (165 km/h),968 hPa (28.59 inHg),Cape Verde,0,None,[2][260]
Diana,"August 4 – 9, 1990",100 mph (155 km/h),980 hPa (28.94 inHg),"Costa Rica, Nicaragua, Honduras, Belize, Yucatán Peninsula, Mainland Mexico",139,$90.7 million,[2][261][262]
Isidore,"September 4 – 17, 1990",100 mph (155 km/h),978 hPa (28.88 inHg),No land areas,0,None,[2][263]
Grace,"October 25 – 29, 1991",105 mph (165 km/h),980 hPa (28.94 inHg),No land areas,0,None,[2][264]
Bonnie,"September 17 – 30, 1992",110 mph (175 km/h),965 hPa (28.50 inHg),Azores,1,Minimal,[2][265][266]
Charley,"September 21 – 27, 1992",110 mph (175 km/h),965 hPa (28.50 inHg),Azores,0,None,[2][267][268]
Gert,"September 14 – 21, 1993",100 mph (155 km/h),970 hPa (28.64 inHg),"Nicaragua, Belize, Mexico",116,$170 million,[2][269][270]
Florence,"November 2 – 8, 1994",110 mph (175 km/h),972 hPa (28.70 inHg),No land areas,0,None,[2][271][272]
Erin,"July 31 – August 6, 1995",100 mph (155 km/h),973 hPa (28.73 inHg),"Florida, Mid-Atlantic States, New England",13,$700 million,[2][273][274]
Humberto,"August 21 – September 1, 1995",110 mph (175 km/h),968 hPa (28.59 inHg),No land areas,0,None,[2][275]
Iris,"August 22 – September 4, 1995",110 mph (175 km/h),965 hPa (28.50 inHg),"Antigua, Montserrat, Barbuda",5,Unknown,[2][276][277]
Danielle,"August 24 – September 3, 1998",105 mph (165 km/h),960 hPa (28.35 inHg),"Puerto Rico, East Coast of the United States, Atlantic Canada, United Kingdom",0,$50 thousand,[2][278][279]
Earl,"August 31 – September 3, 1998",100 mph (155 km/h),985 hPa (29.09 inHg),"Mexico, Florida",3,$79 million,[2][280]
Jeanne,"September 21 – October 1, 1998",105 mph (165 km/h),969 hPa (28.61 inHg),No land areas,0,None,[2][281]
Karl,"September 23 – 28, 1998",105 mph (165 km/h),970 hPa (28.64 inHg),No land areas,0,None,[2][282][283]
Dennis,"August 24 – September 7, 1999",105 mph (165 km/h),962 hPa (28.41 inHg),"North Carolina, Mid-Atlantic states, Canada",4,$157 million,[2][284][285][286]
Irene,"October 12 – 19, 1999",110 mph (175 km/h),958 hPa (28.29 inHg),"Cuba, Florida, South Carolina, North Carolina",18,$800 million,[2][287][288][289]
Jose,"October 17 – 25, 1999",100 mph (155 km/h),979 hPa (28.91 inHg),"Lesser Antilles, Puerto Rico",3,$5 million,[2][290][291][292]
Michael,"October 15 – 20, 2000",110 mph (175 km/h),965 hPa (28.50 inHg),"Bermuda, Maine, Atlantic Canada",0,Minimal,[2][293][294]
Humberto,"September 21 – 27, 2001",105 mph (165 km/h),970 hPa (28.64 inHg),Bermuda,0,Minimal,[2][295]
Gustav,"September 8 – 12, 2002",100 mph (155 km/h),960 hPa (28.35 inHg),"North Carolina, Virginia, New Jersey",4,$340 thousand,[2][296][297][298]
Juan,"September 24 – 29, 2003",110 mph (175 km/h),969 hPa (28.61 inHg),"Nova Scotia, Prince Edward Island",8,$200 million,[2][299][300]
Danielle,"August 13 – 21, 2004",110 mph (175 km/h),964 hPa (28.47 inHg),Cape Verde,0,None,[2][301][302]
Irene,"August 4 – 18, 2005",105 mph (165 km/h),970 hPa (28.64 inHg),East Coast of the United States,1,None,[2][303][304]
Dolly,"July 20 – 27, 2008",100 mph (155 km/h),963 hPa (28.44 inHg),"Guatemala, Yucatán Peninsula, Northeastern Mexico, South Central United States",26,$1.6 billion,[2][305][306][307]
Ida,"November 1 – 10, 2009",105 mph (165 km/h),975 hPa (28.79 inHg),"Nicaragua, Cayman Islands, Yucatán Peninsula, Cuba, Alabama, Georgia, South Carolina",4,$11.4 million,[2][308][309]
Alex,"June 25 – July 2, 2010",110 mph (175 km/h),946 hPa (27.94 inHg),"Greater Antilles, Belize, Yucatán Peninsula, Northern Mexico, South Texas",52,$1.52 billion,[2][310][311][312]
Paula,"October 11 – 15, 2010",105 mph (165 km/h),981 hPa (28.97 inHg),"Nicaragua, Honduras, Mexico, Cuba, Bahamas, Florida",1,Unknown,[2][313][314][315]
Richard,"October 20 – 26, 2010",100 mph (155 km/h),977 hPa (28.85 inHg),"Honduras, Belize, Guatemala, Mexico",2,$80 million,[2][316][317][318]
Tomas,"October 29 – November 7, 2010",100 mph (155 km/h),982 hPa (29.00 inHg),"Windward Islands, Leeward Antilles, Greater Antilles, Lucayan Archipelago",51,$463.4 million,[2][319][320][321]
Ernesto,"August 1 – 10, 2012",100 mph (155 km/h),973 hPa (28.73 inHg),"Windward Islands, Jamaica, Central America, Mexico",12,$252.2 million,[2][322][323][324]
Gordon,"August 15 – 20, 2012",110 mph (175 km/h),965 hPa (28.50 inHg),Azores,0,None,[2][325][326]
Kirk,"August 28 – September 4, 2012",105 mph (165 km/h),970 hPa (28.64 inHg),No land areas,0,None,[2][327][328]
Arthur,"July 1 – 5, 2014",100 mph (155 km/h),973 hPa (28.73 inHg),"Bahamas, North Carolina, Nova Scotia",1,$28.6 million,[2][329][330][331][332]
Gert,"August 12 – 17, 2017",110 mph (175 km/h),962 hPa (28.41 inHg),"Bermuda, East Coast of the United States, Atlantic Canada",2,None,[2][333][334][335]
Katia,"September 5 – 9, 2017",105 mph (165 km/h),972 hPa (28.70 inHg),Mexico,3,$3.26 million,[2][336][337][338]
Chris,"July 6 – 12, 2018",105 mph (165 km/h),969 hPa (28.61 inHg),"Bermuda, Iceland",1,Minimal,[2][339][340]
Helene,"September 7 – 16, 2018",110 mph (175 km/h),967 hPa (28.56 inHg),"West Africa, Cape Verde, Azores, Ireland, United Kingdom, Norway",3,Minimal,[2][341][342][343]
Oscar,"October 26 – 31, 2018",110 mph (175 km/h),966 hPa (28.53 inHg),Faroe Islands,0,None,[2][344]
Jerry,"September 17 – 24, 2019",105 mph (165 km/h),976 hPa (28.82 inHg),"Leeward Islands, Puerto Rico, Bermuda",0,None,[2][345]
Paulette,"September 7 – 23, 2020",105 mph (165 km/h),965 hPa (28.50 inHg),Bermuda,1,$50 million,[2][346]
Sally,"September 11 – 17, 2020",110 mph (175 km/h),965 hPa (28.50 inHg),"The Bahamas, Florida, Cuba, Gulf Coast of the United States",8,$7.3 billion,[2][347]
