Name,Duration,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD),Refs
One,"August 31 – September 9, 1897",100 mph (155 km/h),972 hPa (28.70 inHg),No land areas,45,None,[2][85][86]
Four,"September 5 – 19, 1898",110 mph (175 km/h),965 hPa (28.50 inHg),"Lesser Antilles, Windward Islands",383,$2.5 million,[2][87]
Two,"July 28 – August 2, 1899",100 mph (155 km/h),979 hPa (28.91 inHg),"Dominican Republic, Bahamas, Florida, Alabama",7,>$1 million,[2][88][89]
Four,"August 29 – September 5, 1899",105 mph (165 km/h),Unknown,"Lesser Antilles, Puerto Rico, Haiti, Bermuda",0,Unknown,[2][90]
Nine,"October 26 – 31, 1899",110 mph (175 km/h),955 hPa (28.20 inHg),"Cuba, Bahamas, Jamaica, North Carolina",1+,$200 thousand,.[2][91][92]
Three,"September 8 – 23, 1900",100 mph (155 km/h),Unknown,No land areas,0,None,[2]
Seven,"August 29 – September 10, 1901",105 mph (165 km/h),991 hPa (29.26 inHg),Cape Verde,0,Severe,[2][93][94][20]
Three,"September 16 – 22, 1902",100 mph (155 km/h),981 hPa (28.97 inHg),No land areas,0,None,[2][95][96]
Four,"October 3 – 11, 1902",105 mph (165 km/h),970 hPa (28.64 inHg),"Oaxaca, Florida, Alabama",0,Unknown,[2][96]
Four,"September 12 – 17, 1903",100 mph (155 km/h),990 hPa (29.23 inHg),"North Carolina, Virginia, Washington D.C., Maryland, Delaware, New Jersey, New York",57,$9 million,[2][20][97][98][99][100][101]
Six,"September 26 – 30, 1903",110 mph (175 km/h),988 hPa (29.18 inHg),Bermuda,2,Severe,[2][102][103][20]
Seven,"October 1 – 9, 1903",100 mph (155 km/h),Unknown,No land areas,0,None,[2][102]
Two,"June 14 – 23, 1906",105 mph (165 km/h),979 hPa (28.91 inHg),"Cuba, Florida",0,Minor,[2][104]
One,"March 6 – 9, 1908",100 mph (155 km/h),991 hPa (29.26 inHg),"Saint Barthélemy, Saint Martin, Saint Kitts",0,Moderate,[2][105][106]
Eight,"September 21 – October 7, 1908",110 mph (175 km/h),971 hPa (28.67 inHg),"Lesser Antilles, Hispaniola, Cuba, Bahamas",0,Extensive,[2][105]
Nine,"October 14 – 19, 1908",105 mph (165 km/h),Unknown,Nicaragua,0,None,[2][105]
Two,"June 25 – 30, 1909",100 mph (155 km/h),972 hPa (28.70 inHg),"Texas, Mexico",0,$1.3 million,[2][107][20]
Twelve,"November 8 – 14, 1909",105 mph (165 km/h),Unknown,Greater Antilles,198,$10 million,[2][108][109][110][111][112][113]
Three,"September 5 – 15, 1910",110 mph (175 km/h),965 hPa (28.50 inHg),"Puerto Rico, Texas, Louisiana",0,Unknown,[2][114][115]
Four,"September 24 – 27, 1910",100 mph (155 km/h),Unknown,No land areas,0,None,[2][116]
Three,"August 23 – 30, 1911",100 mph (155 km/h),972 hPa (28.70 inHg),"Georgia, South Carolina",17,$27.4 million,[2][117][118]
Four,"September 3 – 12, 1911",100 mph (155 km/h),990 hPa (29.23 inHg),"Colombia, Nicaragua",10,$2 million,[2][119][20]
Six,"October 11 – 18, 1912",100 mph (155 km/h),970 hPa (28.64 inHg),"Yucatán Peninsula, Texas",42,$28 thousand,[2][20][66]
Four,"August 31 – September 6, 1915",100 mph (155 km/h),982 hPa (29.00 inHg),"Cuba, Florida, Michigan",0,Minor,[2]
Three,"July 10 – 22, 1916",105 mph (165 km/h),980 hPa (28.94 inHg),"Massachusetts, Nova Scotia",0,Minor,[2][120][121]
Seven,"August 21 – 26, 1916",110 mph (175 km/h),997 hPa (29.44 inHg),"Puerto Rico, Dominican Republic, Haiti, Cuba, Florida",0,$1 million,[2][120][122]
Fourteen,"October 9 – 19, 1916",110 mph (175 km/h),970 hPa (28.64 inHg),"Yucatán Peninsula, Florida, Alabama",69,Limited,[2][120][123]
Two,"August 22 – 26, 1918",105 mph (165 km/h),968 hPa (28.59 inHg),"Honduras, Belize",0,Minor,[2][20]
Five,"September 2 – 6, 1918",110 mph (175 km/h),972 hPa (28.70 inHg),Bermuda,21,Minor,[2][124][125][126]
One,"September 7 – 14, 1920",110 mph (175 km/h),985 hPa (29.09 inHg),No land areas,0,None,[2][127]
Two,"September 16 – 23, 1920",100 mph (155 km/h),975 hPa (28.79 inHg),"Nicaragua, Yucatán Peninsula, Texas, Louisiana",1,$1.45 million,[2][128][129]
Four,"October 11 – 22, 1922",110 mph (175 km/h),984 hPa (29.06 inHg),"Colombia, Yucatán Peninsula, Tabasco",0,Unknown,[2][130][131]
Two,"September 1 – 9, 1923",105 mph (165 km/h),989 hPa (29.21 inHg),No land areas,0,None,[2][20]
Four,"August 26 – September 3, 1924",110 mph (175 km/h),965 hPa (28.50 inHg),"Guadeloupe, Montserrat, Anguilla, Saint Thomas, Leeward Islands",89,Heavy,[2][132][133][134]
Five,"September 10 – 14, 1926",105 mph (165 km/h),1000 hPa (29.53 inHg),No land areas,0,None,[2][135]
Eight,"September 21 – October 1, 1926",105 mph (165 km/h),978 hPa (28.88 inHg),Azores (São Miguel Island),0,Minor,[2][135]
Four,"September 23 – 28, 1927",110 mph (175 km/h),967 hPa (28.56 inHg),No land areas,0,None,[2][20]
One,"August 3 – 10, 1928",105 mph (165 km/h),971 hPa (28.67 inHg),"Bahamas, Florida, Georgia, South Carolina",2,$235 thousand,[2][20][136][137]
Seven,"September 8 – 16, 1931",100 mph (155 km/h),987 hPa (29.15 inHg),"Puerto Rico, Dominican Republic, Haiti, Jamaica, Belize, Yucatán Peninsula, Veracruz",2,Moderate,[2][20][138][139]
Fifteen,"November 3 – 10, 1932",100 mph (155 km/h),973 hPa (28.73 inHg),Azores,0,Unknown,[2][140]
Two,"June 24 – July 8, 1933",110 mph (175 km/h),965 hPa (28.50 inHg),"Trinidad, Venezuela, Jamaica, Cayman Islands, Cuba, Tamaulipas",35,$7.5 million,[2][141][142]
Thirteen,"September 10 – 15, 1933",110 mph (175 km/h),960 hPa (28.35 inHg),"Guatemala, Belize, Quintana Roo, Yucatán Peninsula, Tampico",67,Millions,[2][143][144]
One,"June 4 – 18, 1934",100 mph (155 km/h),966 hPa (28.53 inHg),"Belize, Guatemala, Chiapas, Yucatán Peninsula, Louisiana, Mississippi, Tennessee",">1,000",$4.4 million,.[2][145][146][147]
Seven,"September 3 – 7, 1934",105 mph (165 km/h),967 hPa (28.56 inHg),East Coast of the United States,8,$10 thousand,[2][145][148][149]
Ten,"October 1 – 4, 1934",100 mph (155 km/h),984 hPa (29.06 inHg),No land areas,0,None,[2][145]
Seven,"October 30 – November 8, 1935",105 mph (165 km/h),964 hPa (28.47 inHg),"The Bahamas, Florida",19,$5.5 million,[2][150][151]
Five,"July 27 – August 1, 1936",105 mph (165 km/h),964 hPa (28.47 inHg),"Bahamas, Florida, Alabama",4,$200 thousand,[2][152]
Ten,"August 25 – September 5, 1936",110 mph (175 km/h),959 hPa (28.32 inHg),No land areas,0,None,[2][153]
Fifteen,"September 18 – 25, 1936",105 mph (165 km/h),977 hPa (28.85 inHg),Nova Scotia,0,None,[2][154]
Four,"September 9 – 14, 1937",100 mph (155 km/h),992 hPa (29.29 inHg),"Nova Scotia, Canada",0,$1.5 million,[2][20][155]
Eight,"September 20 – 26, 1937",100 mph (155 km/h),982 hPa (29.00 inHg),No land areas,0,None,[2][20][156]
Two,"August 3 – 10, 1940",100 mph (155 km/h),972 hPa (28.70 inHg),"Texas, Louisiana, Arkansas",7,$10.75 million,[2][157][158]
Three,"August 5 – 14, 1940",100 mph (155 km/h),972 hPa (28.70 inHg),"South Carolina, Mid-Atlantic states",52,$13 million,[2][159][20][160]
Four,"August 26 – September 2, 1940",110 mph (175 km/h),961 hPa (28.38 inHg),"North Carolina, New England, Nova Scotia, Quebec",7,$4.05 million,[2][20][161]
Five,"September 7 – 17, 1940",100 mph (155 km/h),988 hPa (29.18 inHg),"Nova Scotia, Newfoundland",3,$1.49 million,[2][20][162]
Seven,"September 22 – 28, 1940",100 mph (155 km/h),977 hPa (28.85 inHg),Azores,0,None,[2][163]
Four,"August 25 – September 3, 1942",110 mph (175 km/h),Unknown,No land areas,0,None,[2][20]
Eleven,"November 5 – 11, 1942",110 mph (175 km/h),992 hPa (29.29 inHg),"Cuba, Belize, Mexico",9,$9 million,[2][20][164]
One,"July 25 – 30, 1943",105 mph (165 km/h),967 hPa (28.56 inHg),"Texas, Louisiana",19,$17 million,[2][165][166][167]
Six,"September 15 – 20, 1943",100 mph (155 km/h),Unknown,Gulf Coast of the United States,0,$419 thousand,[2][166]
Nine,"October 11 – 17, 1943",110 mph (175 km/h),Unknown,"Leeward Islands, Puerto Rico, Bermuda",0,$300 thousand,[2][166][20][168]
