Category,Name,Dates,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD)
3,Erin,"September 9-10, 2001",115 mph (185 km/h),962 hPa (28.41 inHg),"Bermuda, Newfoundland, East Coast of the United States",,
3,Felix,14-Sep-01,125 mph (205 km/h),934 hPa (27.58 inHg),Azores,,
3,Isidore,"September 21-23, 2002",125 mph (205 km/h),952 hPa (28.11 inHg),"Windward Islands, Southeast Mexico, Louisiana",,
3,Kate,"October 3-5, 2003",120 mph (195 km/h),957 hPa (28.26 inHg),Newfoundland,,
3,Alex,5-Aug-04,120 mph (195 km/h),950 hPa (28.05 inHg),North Carolina,,
3,Jeanne,"September 25-26, 2004",115 mph (185 km/h),962 hPa (28.41 inHg),"Guadeloupe, Hispaniola, Bahamas, Florida",,
3,Maria,6-Sep-05,115 mph (185 km/h),962 hPa (28.41 inHg),"East Coast of the United States, Norway",,
3,Beta,30-Oct-05,120 mph (195 km/h),955 hPa (28.20 inHg),Central America,,
3,Gordon,"September 14-15, 2006",120 mph (195 km/h),955 hPa (28.20 inHg),"Azores, Iberian Peninsula, British Isles",,
3,Helene,8-Sep-06,125 mph (205 km/h),952 hPa (28.11 inHg),British Isles,,
3,Bertha,"July 7-8, 2008",120 mph (195 km/h),958 hPa (28.29 inHg),"Bermuda, East Coast of the United States",,
3,Fred,"September 9-10, 2009",125 mph (205 km/h),956 hPa (28.23 inHg),Cape Verde Islands,,
3,Karl,17-Sep-10,120 mph (195 km/h),942 hPa (27.82 inHg),"Belize, YucatÃ¡n Peninsula, Veracruz",,
3,Irene,24-Aug-11,115 mph (185 km/h),966 hPa (28.53 inHg),"Antilles, Bahamas, North Carolina, New Jersey, New York, Eastern Canada",,
3,Rina,"October 25-26, 2011",115 mph (185 km/h),964 hPa (28.47 inHg),"Central America, Florida",,
3,Michael,6-Sep-12,115 mph (185 km/h),940 hPa (27.76 inHg),No land areas,,
3,Sandy,24-Oct-12,120 mph (195 km/h),960 hPa (28.35 inHg),"Greater Antilles, Bahamas, New Jersey, New York",,
3,Edouard,16-Sep-14,125 mph (205 km/h),960 hPa (28.35 inHg),East Coast of the United States,,
3,Danny,21-Aug-15,115 mph (185 km/h),962 hPa (28.41 inHg),Lesser Antilles,,
3,Gaston,"August 28-31, 2016 € ",115 mph (185 km/h),975 hPa (28.79 inHg),Azores,,
3,Otto,24-Nov-16,115 mph (185 km/h),962 hPa (28.41 inHg),"Nicaragua, Costa Rica, Panama",,
3,Lee,27-Sep-17,115 mph (185 km/h),959 hPa (28.32 inHg),No land areas,,
3,Ophelia,14-Oct-17,125 mph (205 km/h),950 hPa (28.05 inHg),"Azores, Portugal, Spain, Ireland, United Kingdom",,
3,Humberto,"September 17-19, 2019",115 mph (185 km/h),952 hPa (28.11 inHg),"Dominican Republic, Haiti, Cuba, The Bahamas, Florida, Bermuda",,
3,Epsilon,"October 21-October 22, 2020",115 mph (185 km/h),970 hPa (28.64 inHg),Bermuda,,
3,Zeta,28-Oct-20,125 mph (205 km/h),962 hPa (28.41 inHg),"Cayman Islands, Jamaica, Central America, YucatÃ¡n Peninsula, Gulf Coast of the United States, Southeastern United States, Mid-Atlantic, New England",,
3,Grace,20-Aug-21,125 mph (205 km/h),955 hPa (28.20 inHg),"Lesser Antilles, Greater Antilles, YucatÃ¡n Peninsula, Central Mexico",,
4,Hurricane #6,"September, October, 1856",140,,,,
4,Hurricane #7,"September, October, 1878",150,,,,
4,Hurricane #2,"August, 1880",140,,,,
4,Hurricane #8,"September, October, 1880",140,,,,
4,Hurricane #6,"October, 1882",150,,,,
4,1886 Indianola hurricane,"August, 1886",130,,,,
4,Hurricane #10,"September, October, 1893",130,,,,
4,Hurricane #6,"October, 1894",130,,,,
4,1898 Georgia hurricane,"September, October, 1898",150,,,,
4,1899 San Ciriaco hurricane,"August, September, 1899",145,,,,
4,1900 Galveston hurricane,"August, September, 1900",130,,,,
4,Hurricane #4,"August, September,1906",150,,,,
4,1910 Cuba hurricane,"October,1910",145,,,,
4,1915 Galveston hurricane,"August,1915",145,,,,
4,1915 New Orleans hurricane,"September, October,1915",130,,,,
4,1916 Texas hurricane,"August,1916",150,,,,
4,1917 Nueva Gerona hurricane,"September,1917",150,,,,
4,1919 Florida Keys hurricane,"September,1919",140,,,,
4,1921 Tampa Bay hurricane,"October,1921",140,,,,
4,1926 Nassau hurricane,"July, August,1926",140,,,,
4,Hurricane #4,"September,1926",150,,,,
4,1926 Miami hurricane,"September,1926",150,,,,
4,1926 Havana-Bermuda hurricane,"October,1926",155,,,,
4,1929 Bahamas hurricane,"September, October,1929",155,,,,
4,1930 Dominican Republic hurricane,"August, September,1930",130,,,,
4,1931 British Honduras hurricane,"September,1931",150,,,,
4,1932 Freeport hurricane,"August,1932",145,,,,
4,1932 San CipriÃ¡n hurricane,"September,1932",140,,,,
4,1933 Chesapeake-Potomac hurricane,"August,1933",140,,,,
4,1933 Treasure Coast hurricane,"August, September,1933",140,,,,
4,1933 Outer Banks hurricane,"September,1933",130,,,,
4,Hurricane #2,"August,1935",140,,,,
4,1935 Cuba hurricane,"September, October,1935",140,,,,
4,Hurricane #5,"October,1939",130,,,,
4,Hurricane #4,"September,1941",140,,,,
4,Hurricane #3,"August,1943",145,,,,
4,1944 Great Atlantic hurricane,"September,1944",145,,,,
4,1944 Cuba-Florida hurricane,"October,1944",130,,,,
4,1945 Homestead hurricane,"September,1945",145,,,,
4,1947 Fort Lauderdale hurricane,"September,1947",130,,,,
4,1948 Bermuda-Newfoundland hurricane,"September,1948",130,,,,
4,September 1948 Florida hurricane,"September,1948",130,,,,
4,1949 Florida hurricane,"August,1949",145,,,,
4,Hurricane Dog,"September,1950",140,,,,
4,Hurricane Fox,"September,1950",130,,,,
4,Hurricane King,"October,1950",130 mph (215 km/h),,,,
4,Hurricane Charlie,"August 19,1951",150 mph (240 km/h),,,,
4,Hurricane Easy,"September 7-8,1951",145 mph (230 km/h),,,,
4,Hurricane Fox,"October 15,1952",130 mph (215 km/h),,,,
4,Hurricane Hazel,"October 23-24,1954",140 mph (220 km/h),,,,
4,Hurricane Connie,"August 7,1955",140 mph (220 km/h),,,,
4,Hurricane Ione,"September 18,1955",140 mph (220 km/h),,,,
4,Hurricane Carrie,"September 7-8,1957",140 mph (220 km/h),,,,
4,Hurricane Cleo,"August 16,1958",130 mph (215 km/h),,,,
4,Hurricane Daisy,"August 28,1958",150 mph (240 km/h),,,,
4,Hurricane Helene,"September 27,1958",140 mph (220 km/h),,,,
4,Hurricane Gracie,"	September 29,1959",145 mph (230 km/h),,,,
4,Hurricane Donna,"September 6-10,1960",130 mph (215 km/h),,,,
4,Hurricane Betsy,"September 5-6,1961",145 mph (233 km/h),,,,
4,Hurricane Carla,"September 10-11,1961",130 mph (215 km/h),,,,
4,Hurricane Frances,"October 7,1961",150 mph (240 km/h),,,,
