Name,Nominal damage(Billions USD),Normalized damage(Billions USD),Season,Storm classificationat peak intensity,Areas affected,References
Camille,$1.4,$26.4,1969,Category 5 hurricane,Mississippi Louisiana Alabama Virginia Cuba,[11]
Iota,$1.4,N/A,2020,Category 4 hurricane,Colombia Central America,[77]
Elena,$1.3,<$6.0,1985,Category 3 hurricane,Cuba United States Gulf Coast,[78]
Isidore,$1.3,<$6.0,2002,Category 3 hurricane,Cuba Yucatán Peninsula Louisiana,[79][80]
Hanna,$1.2,N/A,2020,Category 1 hurricane,Hispaniola Cuba Gulf Coast of the United States Mexico,[81]
Lili,$1.2,<$6.0,2002,Category 4 hurricane,Lesser Antilles Greater Antilles Gulf Coast of the United States,[11]
Fred,$1.1,N/A,2021,Tropical storm,Puerto Rico Hispaniola Cuba Jamaica Southeastern United States,[10]
Nicholas,$1.1,N/A,2021,Category 1 hurricane,Mexico Gulf Coast of the United States,[82]
Alberto,$1.0,<$6.0,1994,Tropical storm,Southeastern United States,[64]
Emily,$1.0,<$6.0,2005,Category 5 hurricane,The Caribbean Honduras Belize Mexico Texas,[5]
Bonnie,$1.0,<$6.0,1998,Category 3 hurricane,Lesser Antilles East Coast of the United States,[5]
